film_id,animation_type,visual_style,frame_rate,render_technique,character_design_style,color_palette_type,animation_realism_level,hand_drawn_elements_present,motion_capture_used,stop_motion_used,ai_generated_elements_present,production_software,art_direction_tone,animation_award_won
1,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.95,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
2,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
3,3D,Realistic,48,PathTracing,Proportional,Vibrant,0.98,FALSE,TRUE,FALSE,FALSE,Houdini,Ep ic,TRUE
4,Hybrid,Realistic,24,Other,Proportional,Desaturated,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Naturalistic,TRUE
5,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
6,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
7,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Blender,Ep ic,TRUE
8,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
9,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
10,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
11,3D,Realistic,24,RayTracing,Proportional,Vibrant,0.95,FALSE,TRUE,FALSE,FALSE,Houdini,Naturalistic,TRUE
12,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
13,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
14,3D,Realistic,24,Rasterization,Proportional,Cold,0.95,FALSE,FALSE,FALSE,FALSE,Houdini,Naturalistic,TRUE
15,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
16,Hybrid,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Unreal,Whimsical,TRUE
17,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
18,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
19,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,TRUE,Maya,Ep ic,FALSE
20,3D,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
21,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
22,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
23,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
24,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
25,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
26,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
27,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
28,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
29,3D,Cartoony,24,Rasterization,Exaggerated,Vibrant,0.75,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
30,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
31,3D,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Futuristic,TRUE
32,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
33,3D,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
34,3D,Realistic,24,Other,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
35,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Futuristic,FALSE
36,3D,Realistic,24,Rasterization,Proportional,Cold,0.9,FALSE,FALSE,FALSE,FALSE,Houdini,Naturalistic,TRUE
37,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Futuristic,FALSE
38,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Dark,TRUE
39,Hybrid,Stylized,24,Rasterization,Proportional,Desaturated,0.8,FALSE,FALSE,FALSE,FALSE,Maya,Dark,TRUE
40,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
41,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
42,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,RenderMan,Whimsical,TRUE
43,3D,Realistic,24,Other,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
44,3D,Stylized,24,Rasterization,Exaggerated,Vibrant,0.8,FALSE,FALSE,FALSE,FALSE,Blender,Whimsical,TRUE
45,3D,Realistic,24,Other,Proportional,Vibrant,0.9,FALSE,FALSE,FALSE,FALSE,Maya,Ep ic,TRUE
46,3D,Realistic,24,Hybrid,Proportional,Cold,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
47,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,TRUE
48,3D,Realistic,24,Hybrid,Proportional,Vibrant,0.9,FALSE,TRUE,FALSE,FALSE,Maya,Ep ic,FALSE
49,Hybrid,Stylized,24,Rasterization,Proportional,Vibrant,0.85,FALSE,FALSE,FALSE,FALSE,Maya,Whimsical,TRUE
