char_id,film_id,billing_order,char_name,actor_name,char_gender,char_fate,hero_or_villain,personality_traits,is_protagonist,screen_time_ratio,role_type,performance_type
1,1,1,Jake Sully,Sam Worthington,M,alive,hero,brave|curious|determined,TRUE,0.25,lead,MotionCapture
2,1,2,Neytiri,Zoe Saldana,F,alive,hero,wise|strong|protective,FALSE,0.18,lead,MotionCapture
3,1,3,Dr. Grace Augustine,Sigourney Weaver,F,dead,hero,intelligent|compassionate|dedicated,FALSE,0.12,supporting,MotionCapture
4,1,4,Colonel Miles Quaritch,Stephen Lang,M,dead,villain,aggressive|ruthless|authoritarian,FALSE,0.15,villain,LiveAction
5,1,5,Trudy Chacón,Michelle Rodriguez,F,dead,hero,courageous|rebellious|loyal,FALSE,0.08,supporting,LiveAction
6,1,6,Norm Spellman,Joel David Moore,M,alive,hero,nerdy|curious|supportive,FALSE,0.07,supporting,MotionCapture
7,2,1,Tony Stark / Iron Man,Robert Downey Jr.,M,dead,hero,intelligent|sarcastic|selfless,TRUE,0.20,lead,LiveAction
8,2,2,Steve Rogers / Captain America,Chris Evans,M,alive,hero,noble|brave|disciplined,FALSE,0.18,lead,LiveAction
9,2,3,Thor,Chris Hemsworth,M,alive,hero,confident|loyal|humorous,FALSE,0.15,lead,LiveAction
10,2,4,Natasha Romanoff / Black Widow,Scarlett Johansson,F,dead,hero,skilled|serious|empathetic,FALSE,0.10,lead,LiveAction
11,2,5,Bruce Banner / Hulk,Mark Ruffalo,M,alive,hero,intelligent|reserved|strong,FALSE,0.09,lead,MotionCapture
12,2,6,Clint Barton / Hawkeye,Jeremy Renner,M,alive,hero,focused|determined|protective,FALSE,0.08,supporting,LiveAction
13,2,7,Thanos,Josh Brolin,M,dead,villain,fanatical|ruthless|philosophical,FALSE,0.12,villain,MotionCapture
14,3,1,Jake Sully,Sam Worthington,M,alive,hero,brave|protective|strategic,TRUE,0.22,lead,MotionCapture
15,3,2,Neytiri,Zoe Saldana,F,alive,hero,fierce|maternal|honorable,FALSE,0.18,lead,MotionCapture
16,3,3,Kiri,Sigourney Weaver,F,alive,hero,curious|spiritual|empathetic,FALSE,0.14,lead,MotionCapture
17,3,4,Colonel Miles Quaritch,Stephen Lang,M,alive,villain,relentless|vengeful|tactical,FALSE,0.15,villain,MotionCapture
18,3,5,Lo'ak,Britain Dalton,M,alive,hero,rebellious|brave|emotional,FALSE,0.10,supporting,MotionCapture
19,3,6,Tsireya,Bailey Bass,F,alive,hero,kind|calm|adaptable,FALSE,0.08,supporting,MotionCapture
20,4,1,Jack Dawson,Leonardo DiCaprio,M,dead,hero,free-spirited|romantic|brave,TRUE,0.30,lead,LiveAction
21,4,2,Rose DeWitt Bukater,Kate Winslet,F,alive,hero,strong-willed|passionate|curious,TRUE,0.30,lead,LiveAction
22,4,3,Cal Hockley,Billy Zane,M,alive,villain,arrogant|jealous|controlling,FALSE,0.12,villain,LiveAction
23,4,4,Molly Brown,Kathy Bates,F,alive,hero,generous|outspoken|kind,FALSE,0.08,supporting,LiveAction
24,4,5,Brock Lovett,Bill Paxton,M,alive,neutral,ambitious|curious|determined,FALSE,0.06,supporting,LiveAction
25,5,1,Rey,Daisy Ridley,F,alive,hero,brave|curious|independent,TRUE,0.25,lead,LiveAction
