crew_id,film_id,person_name,job_title,department,award_won_for_film
1,1,James Cameron,Director,Directing,TRUE
2,1,James Cameron,Writer,Writing,FALSE
3,1,Jon Landau,Producer,Production,FALSE
4,1,James Horner,Composer,Sound,TRUE
5,1,Mauro Fiore,Cinematographer,Camera,TRUE
6,1,John Refoua,Editor,Editing,FALSE
7,1,Rick Carter,Art Director,Art,FALSE
8,1,Joe Letteri,Visual Effects Supervisor,VisualEffects,TRUE

9,2,Anthony Russo,Director,Directing,FALSE
10,2,Joe Russo,Director,Directing,FALSE
11,2,Christopher Markus,Writer,Writing,FALSE
12,2,Stephen McFeely,Writer,Writing,FALSE
13,2,Kevin Feige,Producer,Production,TRUE
14,2,Alan Silvestri,Composer,Sound,FALSE
15,2,Trent Opaloch,Cinematographer,Camera,FALSE
16,2,Dan DeLeeuw,Visual Effects Supervisor,VisualEffects,TRUE

17,3,James Cameron,Director,Directing,FALSE
18,3,James Cameron,Writer,Writing,FALSE
19,3,Jon Landau,Producer,Production,FALSE
20,3,Simon Franglen,Composer,Sound,FALSE
21,3,Russell Carpenter,Cinematographer,Camera,FALSE
22,3,Dylan Cole,Production Designer,Art,FALSE
23,3,Joe Letteri,Visual Effects Supervisor,VisualEffects,TRUE
24,3,Stephen Rivkin,Editor,Editing,FALSE

25,4,James Cameron,Director,Directing,TRUE
26,4,James Cameron,Writer,Writing,TRUE
27,4,Jon Landau,Producer,Production,TRUE
28,4,James Horner,Composer,Sound,TRUE
29,4,Russell Carpenter,Cinematographer,Camera,TRUE
30,4,Conrad Buff,Editor,Editing,TRUE
31,4,Peter Lamont,Art Director,Art,TRUE
32,4,Robert Legato,Visual Effects Supervisor,VisualEffects,TRUE

33,5,J.J. Abrams,Director,Directing,FALSE
34,5,Lawrence Kasdan,Writer,Writing,FALSE
35,5,Michael Arndt,Writer,Writing,FALSE
36,5,Kathleen Kennedy,Producer,Production,FALSE
37,5,John Williams,Composer,Sound,FALSE
38,5,Dan Mindel,Cinematographer,Camera,FALSE
39,5,Maryann Brandon,Editor,Editing,FALSE
40,5,Rick Carter,Production Designer,Art,FALSE

41,6,Anthony Russo,Director,Directing,FALSE
42,6,Joe Russo,Director,Directing,FALSE
43,6,Christopher Markus,Writer,Writing,FALSE
44,6,Stephen McFeely,Writer,Writing,FALSE
45,6,Kevin Feige,Producer,Production,FALSE
46,6,Alan Silvestri,Composer,Sound,FALSE
47,6,Trent Opaloch,Cinematographer,Camera,FALSE
48,6,Dan DeLeeuw,Visual Effects Supervisor,VisualEffects,FALSE

49,7,Yang Yu (Jiaozi),Director,Directing,FALSE
50,7,Yang Yu (Jiaozi),Writer,Writing,FALSE
51,7,Light Chaser Animation Studios,Producer,Production,FALSE
52,7,Wei Dong Liu,Composer,Sound,FALSE
53,7,Chen Li,Cinematographer,Camera,FALSE
54,7,Sun Nan,Art Director,Art,FALSE
55,7,Zhang Lei,Visual Effects Supervisor,VisualEffects,FALSE

56,8,Jon Watts,Director,Directing,FALSE
57,8,Chris McKenna,Writer,Writing,FALSE
58,8,Erik Sommers,Writer,Writing,FALSE
59,8,Amy Pascal,Producer,Production,FALSE
60,8,Michael Giacchino,Composer,Sound,FALSE
61,8,Mauro Fiore,Cinematographer,Camera,FALSE
62,8,Jeffrey Ford,Editor,Editing,FALSE
63,8,Dan Sudick,Visual Effects Supervisor,VisualEffects,FALSE

64,9,Kelsey Mann,Director,Directing,FALSE
65,9,Meg LeFauve,Writer,Writing,FALSE
66,9,Mark Nielsen,Producer,Production,FALSE
67,9,Andrea Datzman,Composer,Sound,FALSE
68,9,Adam Habib,Cinematographer,Camera,FALSE
69,9,Ralph Eggleston,Art Director,Art,FALSE
70,9,Kevin Nolting,Editor,Editing,FALSE
71,9,Danielle Feinberg,Visual Effects Supervisor,VisualEffects,FALSE

72,10,Colin Trevorrow,Director,Directing,FALSE
73,10,Rick Jaffa,Writer,Writing,FALSE
74,10,Amanda Silver,Writer,Writing,FALSE
75,10,Frank Marshall,Producer,Production,FALSE
76,10,Michael Giacchino,Composer,Sound,FALSE
77,10,John Schwartzman,Cinematographer,Camera,FALSE
78,10,Kevin Stitt,Editor,Editing,FALSE
79,10,Tim Alexander,Visual Effects Supervisor,VisualEffects,FALSE
80,11,Jon Favreau,Director,Directing,FALSE
81,11,Jeff Nathanson,Writer,Writing,FALSE
