film_id,slang_intensity,accent_comedy_used,accent_region,cultural_humor_type,language_switching,cultural_instrument_usage,translation_difficulty_score,choreographic_dance_present
1,0.1,FALSE,,situational,TRUE,TRUE,0.3,FALSE
2,0.2,FALSE,,situational,FALSE,FALSE,0.3,FALSE
3,0.1,FALSE,,situational,TRUE,TRUE,0.3,FALSE
4,0.1,FALSE,,romantic,FALSE,TRUE,0.2,TRUE
5,0.1,FALSE,,situational,TRUE,FALSE,0.2,FALSE
6,0.2,FALSE,,situational,FALSE,FALSE,0.3,FALSE
7,0.1,FALSE,,other,TRUE,TRUE,0.4,TRUE
8,0.3,FALSE,,wordplay,FALSE,FALSE,0.5,FALSE
9,0.2,FALSE,,situational,FALSE,FALSE,0.3,FALSE
10,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
11,0.1,FALSE,,romantic,FALSE,TRUE,0.3,TRUE
12,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
13,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
14,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
15,0.1,FALSE,,romantic,FALSE,TRUE,0.3,TRUE
16,0.3,FALSE,,satirical,FALSE,FALSE,0.6,TRUE
17,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
18,0.2,FALSE,,absurd,FALSE,FALSE,0.3,FALSE
19,0.6,TRUE,,wordplay,TRUE,FALSE,0.7,FALSE
20,0.2,FALSE,,situational,TRUE,TRUE,0.4,FALSE
21,0.1,FALSE,,situational,TRUE,FALSE,0.2,FALSE
22,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
23,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
24,0.1,FALSE,,romantic,FALSE,TRUE,0.3,TRUE
25,0.1,FALSE,,romantic,FALSE,TRUE,0.4,TRUE
26,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
27,0.2,FALSE,,situational,FALSE,FALSE,0.3,FALSE
28,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
29,0.2,TRUE,,absurd,FALSE,FALSE,0.6,TRUE
30,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
31,0.1,FALSE,,situational,FALSE,TRUE,0.3,FALSE
32,0.2,FALSE,,situational,TRUE,FALSE,0.3,FALSE
33,0.2,FALSE,,situational,TRUE,FALSE,0.3,FALSE
34,0.1,FALSE,,situational,FALSE,TRUE,0.3,FALSE
35,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
36,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
37,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
38,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
39,0.2,FALSE,,dark_humor,FALSE,FALSE,0.5,TRUE
40,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
41,0.1,FALSE,,situational,TRUE,FALSE,0.2,FALSE
42,0.1,FALSE,,situational,FALSE,FALSE,0.2,TRUE
43,0.2,FALSE,,situational,FALSE,TRUE,0.3,FALSE
44,0.1,FALSE,,romantic,FALSE,TRUE,0.3,TRUE
45,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
46,0.1,FALSE,,situational,TRUE,FALSE,0.2,FALSE
47,0.1,FALSE,,situational,TRUE,FALSE,0.2,FALSE
48,0.2,FALSE,,situational,FALSE,TRUE,0.2,FALSE
49,0.1,FALSE,,romantic,TRUE,TRUE,0.6,TRUE
50,0.1,FALSE,,romantic,,TRUE,0.4,TRUE
51,0.2,TRUE,Eastern European,slapstick,FALSE,FALSE,0.5,FALSE
52,0.1,FALSE,,wordplay,FALSE,FALSE,0.4,FALSE
53,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
54,0.2,FALSE,,wordplay,FALSE,FALSE,0.3,FALSE
55,0.1,FALSE,,situational,FALSE,TRUE,0.2,FALSE
56,0.1,FALSE,,other,FALSE,FALSE,0.1,FALSE
57,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
58,0.1,FALSE,,romantic,TRUE,TRUE,0.3,TRUE
59,0.0,FALSE,,other,FALSE,FALSE,0.2,FALSE
60,0.2,TRUE,Eastern European,slapstick,FALSE,FALSE,0.5,FALSE
61,0.2,TRUE,Eastern European,slapstick,FALSE,FALSE,0.5,FALSE
62,0.1,FALSE,British,situational,FALSE,FALSE,0.2,FALSE
63,0.2,FALSE,,situational,FALSE,FALSE,0.2,FALSE
64,0.1,FALSE,,situational,FALSE,TRUE,0.2,FALSE
65,0.1,FALSE,,situational,FALSE,TRUE,0.2,FALSE
66,0.1,FALSE,,situational,FALSE,FALSE,0.2,FALSE
67,0.2,FALSE,,absurd,FALSE,FALSE,0.4,FALSE
68,0.1,FALSE,,romantic,FALSE,TRUE,0.3,TRUE
69,0.1,FALSE,British,other,FALSE,FALSE,0.1,FALSE
