film_id,film_name,release_year,genre,film_duration,film_country,film_language,film_budget,film_box_office,film_votes_count,film_release_platform,film_name_word_count,film_age_rating,film_awards_count,studio_name
1,Avatar,2009,Action|Adventure|Sci-Fi,162,USA,en,237000000,2923706026,13000000,Cinema,1,PG-13,3,20th Century Fox
2,Avengers: Endgame,2019,Action|Adventure|Sci-Fi,181,USA,en,356000000,2797501328,12000000,Cinema,2,PG-13,6,Marvel Studios
3,Avatar: The Way of Water,2022,Action|Adventure|Sci-Fi,192,USA,en,350000000,2320287321,9000000,Cinema,5,PG-13,4,20th Century Studios
4,Titanic,1997,Drama|Romance,195,USA,en,200000000,2264645982,13000000,Cinema,1,PG-13,11,Paramount Pictures
5,Star Wars Ep. VII: The Force Awakens,2015,Action|Adventure|Sci-Fi,138,USA,en,245000000,2071310218,9500000,Cinema,7,PG-13,5,Walt Disney Pictures
6,Avengers: Infinity War,2018,Action|Adventure|Sci-Fi,149,USA,en,325000000,2052415039,10000000,Cinema,3,PG-13,4,Marvel Studios
7,Ne Zha 2 (哪吒之魔童闹海),2025,Animation|Action|Fantasy,128,China,zh,20000000,868000000,500000,Cinema,5,PG,3,Beijing Enlight Pictures
8,Spider-Man: No Way Home,2021,Action|Adventure|Fantasy,148,USA,en,200000000,1921847111,11000000,Cinema,4,PG-13,4,Marvel Studios
9,Inside Out 2,2024,Animation|Comedy|Drama,96,USA,en,200000000,1630000000,400000,Cinema,3,PG,2,Walt Disney Pictures
10,Jurassic World,2015,Action|Adventure|Sci-Fi,124,USA,en,150000000,1671537444,8700000,Cinema,2,PG-13,4,Universal Pictures
11,The Lion King,2019,Animation|Adventure|Drama,118,USA,en,260000000,1663341219,7000000,Cinema,3,PG,2,Walt Disney Pictures
12,The Avengers,2012,Action|Adventure|Sci-Fi,143,USA,en,220000000,1518812988,12000000,Cinema,2,PG-13,3,Marvel Studios
13,Furious 7,2015,Action|Crime|Thriller,137,USA,en,190000000,1515341399,9500000,Cinema,2,PG-13,2,Universal Pictures
14,Top Gun: Maverick,2022,Action|Drama,130,USA,en,170000000,1495565128,8000000,Cinema,3,PG-13,5,Paramount Pictures
15,Frozen II,2019,Animation|Adventure|Comedy,103,USA,en,150000000,1450026933,6000000,Cinema,2,PG,3,Walt Disney Pictures
16,Barbie,2023,Comedy|Fantasy,114,USA,en,145000000,1447695281,7000000,Cinema,1,PG-13,5,Warner Bros.
17,Avengers: Age of Ultron,2015,Action|Adventure|Sci-Fi,141,USA,en,365000000,1405403694,11000000,Cinema,4,PG-13,3,Marvel Studios
18,The Super Mario Bros. Movie,2023,Animation|Adventure|Comedy,92,USA,en,100000000,1360320794,550000,Cinema,4,PG,2,Universal Pictures
19,Deadpool & Wolverine,2024,Action|Comedy|Sci-Fi,128,USA,en,200000000,1200000000,2000000,Cinema,3,R,3,Marvel Studios
20,Black Panther,2018,Action|Adventure|Sci-Fi,134,USA,en,200000000,1349126343,9000000,Cinema,2,PG-13,3,Marvel Studios
21,Star Wars Ep. VIII: The Last Jedi,2017,Action|Adventure|Sci-Fi,152,USA,en,200000000,1332539889,9000000,Cinema,7,PG-13,4,Walt Disney Pictures
22,Harry Potter and the Deathly Hallows (Part 2),2011,Adventure|Fantasy,130,UK|USA,en,250000000,1342329209,8500000,Cinema,7,PG-13,3,Warner Bros.
23,Jurassic World: Fallen Kingdom,2018,Action|Adventure|Sci-Fi,128,USA,en,170000000,1310466296,7000000,Cinema,4,PG-13,2,Universal Pictures
24,Frozen,2013,Animation|Adventure|Comedy,102,USA,en,150000000,1280820561,9000000,Cinema,1,PG,2,Walt Disney Pictures
25,Beauty and the Beast,2017,Fantasy|Musical|Romance,129,USA,en,160000000,1265469307,8000000,Cinema,4,PG,2,Walt Disney Pictures
26,Incredibles 2,2018,Animation|Action|Adventure,118,USA,en,200000000,1244323528,7000000,Cinema,2,PG,3,Pixar Animation Studios
27,Iron Man 3,2013,Action|Adventure|Sci-Fi,130,USA,en,200000000,1214811252,9500000,Cinema,3,PG-13,3,Marvel Studios
28,The Fate of the Furious,2017,Action|Crime|Thriller,136,USA,en,250000000,1236005118,8500000,Cinema,4,PG-13,2,Universal Pictures
29,Minions,2015,Animation|Adventure|Comedy,91,USA,en,74000000,1159398397,8000000,Cinema,1,PG,1,Illumination Entertainment
30,Captain America: Civil War,2016,Action|Adventure|Sci-Fi,147,USA,en,250000000,1155039725,11000000,Cinema,3,PG-13,3,Marvel Studios
31,Aquaman,2018,Action|Adventure|Fantasy,143,USA,en,160000000,1156491262,8000000,Cinema,1,PG-13,2,Warner Bros.
32,Spider-Man: Far From Home,2019,Action|Adventure|Comedy,129,USA,en,160000000,1131927996,9500000,Cinema,4,PG-13,2,Marvel Studios
33,Captain Marvel,2019,Action|Adventure|Sci-Fi,123,USA,en,175000000,1136300000,8700000,Cinema,2,PG-13,3,Marvel Studios
34,The Lord of the Rings: The Return of the King,2003,Adventure|Fantasy,201,New Zealand|USA,en,94000000,1146531659,18000000,Cinema,8,PG-13,11,New Line Cinema
35,Transformers: Dark of the Moon,2011,Action|Adventure|Sci-Fi,154,USA,en,195000000,1123794079,7500000,Cinema,4,PG-13,3,Paramount Pictures
36,Skyfall,2012,Action|Thriller,143,UK|USA,en,200000000,1108561013,8700000,Cinema,1,PG-13,5,Eon Productions
37,Transformers: Age of Extinction,2014,Action|Adventure|Sci-Fi,165,USA,en,210000000,1104342504,7200000,Cinema,4,PG-13,2,Paramount Pictures
38,The Dark Knight Rises,2012,Action|Thriller,164,USA,en,250000000,1081041287,16000000,Cinema,4,PG-13,4,Warner Bros.
39,Joker,2019,Crime|Drama|Thriller,122,USA,en,55000000,1074457302,13000000,Cinema,1,R,11,Warner Bros.
40,Toy Story 4,2019,Animation|Adventure|Comedy,100,USA,en,200000000,1073394593,7500000,Cinema,3,G,3,Pixar Animation Studios
41,Star Wars: The Rise of Skywalker,2019,Action|Adventure|Sci-Fi,142,USA,en,275000000,1075887000,8700000,Cinema,5,PG-13,3,Walt Disney Pictures
42,Toy Story 3,2010,Animation|Adventure|Comedy,103,USA,en,200000000,1066969703,9500000,Cinema,3,G,2,Pixar Animation Studios
43,Pirates of the Caribbean: Dead Man’s Chest,2006,Action|Adventure|Fantasy,150,USA,en,225000000,1066179725,11000000,Cinema,6,PG-13,1,Walt Disney Pictures
44,Moana 2,2024,Animation|Adventure|Comedy,108,USA,en,200000000,1025000000,400000,Cinema,2,PG,1,Walt Disney Pictures
45,Jurassic Park,1993,Adventure|Sci-Fi|Thriller,127,USA,en,63000000,1043740832,11000000,Cinema,2,PG-13,4,Universal Pictures
46,Rogue One: A Star Wars Story,2016,Action|Adventure|Sci-Fi,133,USA,en,220000000,1056057273,9500000,Cinema,5,PG-13,2,Walt Disney Pictures
47,Star Wars Ep. I: The Phantom Menace,1999,Action|Adventure|Sci-Fi,136,USA,en,115000000,1027044677,12000000,Cinema,8,PG,3,Lucasfilm
48,Pirates of the Caribbean: On Stranger Tides,2011,Action|Adventure|Fantasy,137,USA,en,379000000,1045713802,8000000,Cinema,6,PG-13,1,Walt Disney Pictures
49,Aladdin,2019,Adventure|Family|Fantasy,128,USA,en,183000000,1050693953,9500000,Cinema,1,PG,2,Walt Disney Pictures
50,Lilo & Stitch,2025,Animation|Adventure|Comedy,105,USA,en,180000000,980000000,200000,Cinema,3,PG,1,Walt Disney Pictures
51,Despicable Me 3,2017,Animation|Adventure|Comedy,96,USA,en,80000000,1034799409,7000000,Cinema,3,PG,1,Illumination Entertainment
52,Alice in Wonderland,2010,Adventure|Family|Fantasy,108,USA,en,200000000,1025467110,8900000,Cinema,3,PG,2,Walt Disney Pictures
53,Finding Dory,2016,Animation|Adventure|Comedy,97,USA,en,200000000,1029925209,7500000,Cinema,2,PG,2,Pixar Animation Studios
54,Zootopia,2016,Animation|Adventure|Comedy,108,USA,en,150000000,1023784195,8500000,Cinema,1,PG,3,Walt Disney Pictures
55,The Hobbit: An Unexpected Journey,2012,Adventure|Fantasy,169,New Zealand|USA,en,200000000,1017212149,9000000,Cinema,5,PG-13,3,Warner Bros.
56,The Dark Knight,2008,Action|Crime|Drama,152,USA,en,185000000,1004558444,27000000,Cinema,3,PG-13,2,Warner Bros.
57,Jurassic World: Dominion,2022,Action|Adventure|Sci-Fi,147,USA,en,265000000,1001047000,7500000,Cinema,3,PG-13,2,Universal Pictures
58,The Lion King,1994,Animation|Adventure|Drama,88,USA,en,45000000,987483777,13000000,Cinema,3,G,4,Walt Disney Pictures
59,Oppenheimer,2023,Biography|Drama|History,180,USA,en,100000000,982000000,12000000,Cinema,1,R,7,Universal Pictures
60,Despicable Me 2,2013,Animation|Adventure|Comedy,98,USA,en,76000000,970766005,8500000,Cinema,3,PG,1,Illumination Entertainment
61,Despicable Me 4,2024,Animation|Adventure|Comedy,95,USA,en,100000000,940000000,400000,Cinema,3,PG,1,Illumination Entertainment
62,Harry Potter and the Sorcerer’s Stone,2001,Adventure|Fantasy,152,UK|USA,en,125000000,974755371,13000000,Cinema,6,PG,3,Warner Bros.
63,Jumanji: Welcome to the Jungle,2017,Action|Adventure|Comedy,119,USA,en,90000000,962077546,9500000,Cinema,4,PG-13,2,Columbia Pictures
64,Pirates of the Caribbean: At World’s End,2007,Action|Adventure|Fantasy,169,USA,en,300000000,963420425,10000000,Cinema,6,PG-13,1,Walt Disney Pictures
65,The Hobbit: The Desolation of Smaug,2013,Adventure|Fantasy,161,New Zealand|USA,en,225000000,959026992,8000000,Cinema,5,PG-13,3,Warner Bros.
66,A Minecraft Movie,2025,Adventure|Family|Fantasy,110,USA,en,180000000,900000000,200000,Cinema,3,PG,0,Warner Bros.
67,Doctor Strange in the Multiverse of Madness,2022,Action|Adventure|Fantasy,126,USA,en,200000000,955775804,9000000,Cinema,6,PG-13,2,Marvel Studios
68,The Jungle Book,2016,Adventure|Drama|Fantasy,106,USA,en,175000000,966554929,8700000,Cinema,3,PG,3,Walt Disney Pictures
69,Harry Potter and the Deathly Hallows (Part 1),2010,Adventure|Fantasy,146,UK|USA,en,250000000,977043483,9500000,Cinema,7,PG-13,2,Warner Bros.
70,The Hobbit: The Battle of the Five Armies,2014,Adventure|Fantasy,144,New Zealand|USA,en,250000000,962201338,8300000,Cinema,6,PG-13,3,Warner Bros.
71,Minions: The Rise of Gru,2022,Animation|Adventure|Comedy,87,USA,en,80000000,940211550,6000000,Cinema,5,PG,1,Illumination Entertainment
72,Harry Potter and the Order of the Phoenix,2007,Adventure|Fantasy,138,UK|USA,en,150000000,942034118,10000000,Cinema,7,PG-13,3,Warner Bros.
73,Finding Nemo,2003,Animation|Adventure|Comedy,100,USA,en,94000000,940352645,14000000,Cinema,2,G,4,Pixar Animation Studios
74,Shrek 2,2004,Animation|Adventure|Comedy,93,USA,en,150000000,935253978,16000000,Cinema,2,PG,3,DreamWorks Animation
75,Harry Potter and the Half-Blood Prince,2009,Adventure|Fantasy,153,UK|USA,en,250000000,934482235,9800000,Cinema,6,PG,3,Warner Bros.
76,The Lord of the Rings: The Two Towers,2002,Adventure|Fantasy,179,New Zealand|USA,en,94000000,947860230,17000000,Cinema,7,PG-13,4,New Line Cinema
77,Star Wars Ep. III: Revenge of the Sith,2005,Action|Adventure|Sci-Fi,140,USA,en,113000000,868390560,12000000,Cinema,7,PG-13,3,Lucasfilm
78,Spider-Man 3,2007,Action|Adventure|Fantasy,139,USA,en,258000000,894983373,14000000,Cinema,2,PG-13,2,Columbia Pictures
79,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure|Fantasy,178,New Zealand|USA,en,93000000,898204420,18000000,Cinema,8,PG-13,4,New Line Cinema
80,Ice Age: Dawn of the Dinosaurs,2009,Animation|Adventure|Comedy,94,USA,en,90000000,886686817,8500000,Cinema,5,PG,1,Blue Sky Studios
81,The Secret Life of Pets,2016,Animation|Adventure|Comedy,87,USA,en,75000000,885255630,6800000,Cinema,5,PG,1,Illumination Entertainment
82,Harry Potter and the Goblet of Fire,2005,Adventure|Fantasy,157,UK|USA,en,150000000,896911078,11000000,Cinema,7,PG-13,2,Warner Bros.
83,Ice Age: Continental Drift,2012,Animation|Adventure|Comedy,88,USA,en,95000000,877244782,7800000,Cinema,4,PG,1,Blue Sky Studios
84,Bohemian Rhapsody,2018,Biography|Drama|Music,134,UK|USA,en,52000000,910809311,6500000,Cinema,2,PG-13,20,20th Century Fox
85,Spectre,2015,Action|Adventure|Thriller,148,UK|USA,en,245000000,880674609,7500000,Cinema,1,PG-13,2,Eon Productions
86,Spider-Man: Homecoming,2017,Action|Adventure|Sci-Fi,133,USA,en,175000000,880166924,9500000,Cinema,3,PG-13,2,Marvel Studios
87,Harry Potter and the Chamber of Secrets,2002,Adventure|Fantasy,161,UK|USA,en,100000000,879462196,12000000,Cinema,6,PG,3,Warner Bros.
88,Batman v Superman: Dawn of Justice,2016,Action|Adventure|Sci-Fi,151,USA,en,250000000,873634919,10000000,Cinema,5,PG-13,2,Warner Bros.
89,Guardians of the Galaxy Vol. 2,2017,Action|Adventure|Comedy,136,USA,en,200000000,863756051,9800000,Cinema,5,PG-13,3,Marvel Studios
90,Jurassic World Rebirth,2025,Action|Adventure|Sci-Fi,142,USA,en,250000000,950000000,200000,Cinema,3,PG-13,0,Universal Pictures
91,The Hunger Games: Catching Fire,2013,Action|Adventure|Sci-Fi,146,USA,en,130000000,865011746,8900000,Cinema,5,PG-13,3,Lionsgate
92,Black Panther: Wakanda Forever,2022,Action|Adventure|Drama,161,USA,en,250000000,859208836,8200000,Cinema,4,PG-13,3,Marvel Studios
93,Venom,2018,Action|Sci-Fi|Thriller,112,USA,en,100000000,856085151,8900000,Cinema,1,PG-13,1,Columbia Pictures
94,Thor: Ragnarok,2017,Action|Adventure|Comedy,130,USA,en,180000000,855301806,9400000,Cinema,2,PG-13,3,Marvel Studios
95,Inside Out,2015,Animation|Adventure|Comedy,95,USA,en,175000000,858848019,9000000,Cinema,2,PG,3,Pixar Animation Studios
96,Guardians of the Galaxy Vol. 3,2023,Action|Adventure|Comedy,150,USA,en,250000000,845500000,7000000,Cinema,5,PG-13,4,Marvel Studios
97,"Hi, Mom (你好, 李焕英)",2021,Comedy|Drama|Fantasy,128,China,zh,60000000,848000000,500000,Cinema,3,PG,5,Beijing Culture
