film_id,is_sequel,sequel_number,franchise_name,franchise_total_films,franchise_avg_rating,in_universe_order
1,FALSE,,,,,
2,TRUE,4,Marvel Cinematic Universe,33,7.8,22
3,TRUE,2,Avatar,5,7.9,2
4,FALSE,,,,,
5,TRUE,7,Star Wars,12,7.6,7
6,TRUE,3,Marvel Cinematic Universe,33,7.8,21
7,TRUE,2,Ne Zha,2,7.5,2
8,TRUE,3,Marvel Cinematic Universe,33,7.8,27
9,TRUE,2,Inside Out,2,8.0,2
10,TRUE,4,Jurassic Park,6,6.9,4
11,TRUE,2,The Lion King,2,7.0,2
12,FALSE,,,,,
13,TRUE,7,Fast & Furious,11,6.8,7
14,TRUE,2,Top Gun,2,8.3,2
15,TRUE,2,Frozen,2,7.3,2
16,FALSE,,,,,
17,TRUE,2,Marvel Cinematic Universe,33,7.8,13
18,FALSE,,,,,
19,TRUE,3,Deadpool,3,8.0,3
20,FALSE,,,,,
21,TRUE,8,Star Wars,12,7.6,8
22,TRUE,8,Harry Potter,8,7.7,8
23,TRUE,5,Jurassic Park,6,6.9,5
24,FALSE,,,,,
25,FALSE,,,,,
26,TRUE,2,The Incredibles,2,8.0,2
27,TRUE,3,Marvel Cinematic Universe,33,7.8,7
28,TRUE,8,Fast & Furious,11,6.8,8
29,TRUE,0,Despicable Me,5,7.0,0
30,TRUE,3,Marvel Cinematic Universe,33,7.8,13
31,FALSE,,,,,
32,TRUE,2,Marvel Cinematic Universe,33,7.8,28
33,FALSE,,,,,
34,TRUE,3,The Lord of the Rings,3,8.9,3
35,TRUE,3,Transformers,6,6.0,3
36,TRUE,23,James Bond,25,7.1,23
37,TRUE,4,Transformers,6,6.0,4
38,TRUE,3,The Dark Knight Trilogy,3,8.7,3
39,FALSE,,,,,
40,TRUE,4,Toy Story,4,8.2,4
41,TRUE,9,Star Wars,12,7.6,9
42,TRUE,3,Toy Story,4,8.2,3
43,TRUE,2,Pirates of the Caribbean,5,7.2,2
44,TRUE,2,Moana,2,7.5,2
45,FALSE,,,,,
46,TRUE,3,Star Wars,12,7.6,3
47,TRUE,1,Star Wars,12,7.6,1
48,TRUE,4,Pirates of the Caribbean,5,7.2,4
49,FALSE,,,,,
50,TRUE,2,Lilo & Stitch,2,7.3,2
51,TRUE,3,Despicable Me,5,7.0,3
52,TRUE,1,Alice in Wonderland,2,6.5,1
53,TRUE,2,Finding Nemo,2,8.0,2
54,FALSE,,,,,
55,TRUE,1,The Hobbit,3,7.5,1
56,TRUE,2,The Dark Knight Trilogy,3,8.7,2
57,TRUE,6,Jurassic Park,6,6.9,6
58,FALSE,,,,,
59,FALSE,,,,,
60,TRUE,2,Despicable Me,5,7.0,2
61,TRUE,4,Despicable Me,5,7.0,4
62,TRUE,1,Harry Potter,8,7.7,1
63,TRUE,2,Jumanji,3,6.9,2
64,TRUE,3,Pirates of the Caribbean,5,7.2,3
