film_id,family_friendly_score,violence_intensity,sexual_content_present,sexual_content_intensity,language_intensity,substance_use_present,frightening_scenes_intensity,age_recommendation,age_rating_source
1,0.6,0.6,FALSE,0.0,0.2,TRUE,0.5,13+,MPAA
2,0.7,0.6,FALSE,0.0,0.2,FALSE,0.5,13+,MPAA
3,0.6,0.5,FALSE,0.0,0.2,TRUE,0.4,13+,MPAA
4,0.4,0.3,TRUE,0.6,0.2,TRUE,0.3,13+,MPAA
5,0.7,0.5,FALSE,0.0,0.2,FALSE,0.4,12+,BBFC
6,0.6,0.7,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
7,0.7,0.5,FALSE,0.0,0.1,FALSE,0.4,12+,BBFC
8,0.7,0.5,FALSE,0.0,0.3,FALSE,0.4,13+,MPAA
9,0.9,0.2,FALSE,0.0,0.1,FALSE,0.2,7+,MPAA
10,0.5,0.6,FALSE,0.0,0.2,FALSE,0.5,13+,MPAA
11,0.8,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
12,0.7,0.6,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
13,0.5,0.7,FALSE,0.0,0.4,TRUE,0.4,13+,MPAA
14,0.6,0.6,FALSE,0.0,0.2,TRUE,0.3,12+,BBFC
15,0.9,0.2,FALSE,0.0,0.1,FALSE,0.2,7+,MPAA
16,0.8,0.2,FALSE,0.0,0.2,FALSE,0.1,7+,MPAA
17,0.6,0.6,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
18,0.95,0.1,FALSE,0.0,0.1,FALSE,0.1,All,MPAA
19,0.3,0.8,TRUE,0.7,0.9,TRUE,0.6,18+,MPAA
20,0.7,0.5,FALSE,0.0,0.3,FALSE,0.4,13+,MPAA
21,0.6,0.5,FALSE,0.0,0.2,FALSE,0.5,12+,BBFC
22,0.5,0.6,FALSE,0.0,0.3,FALSE,0.7,12+,BBFC
23,0.5,0.6,FALSE,0.0,0.2,FALSE,0.5,13+,MPAA
24,0.95,0.1,FALSE,0.0,0.1,FALSE,0.1,All,MPAA
25,0.8,0.2,TRUE,0.3,0.2,FALSE,0.2,7+,MPAA
26,0.9,0.3,FALSE,0.0,0.1,FALSE,0.2,7+,MPAA
27,0.6,0.6,FALSE,0.0,0.3,TRUE,0.4,13+,MPAA
28,0.5,0.7,FALSE,0.0,0.4,TRUE,0.4,13+,MPAA
29,0.95,0.1,FALSE,0.0,0.1,FALSE,0.1,All,MPAA
30,0.6,0.7,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
31,0.6,0.6,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
32,0.7,0.5,FALSE,0.0,0.3,FALSE,0.3,12+,BBFC
33,0.8,0.4,FALSE,0.0,0.2,FALSE,0.3,12+,BBFC
34,0.5,0.7,FALSE,0.0,0.2,FALSE,0.6,12+,BBFC
35,0.5,0.7,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
36,0.5,0.6,FALSE,0.0,0.4,TRUE,0.5,13+,MPAA
37,0.5,0.7,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
38,0.4,0.8,FALSE,0.0,0.4,FALSE,0.7,13+,MPAA
39,0.2,0.8,TRUE,0.4,0.9,TRUE,0.8,18+,MPAA
40,0.95,0.1,FALSE,0.0,0.1,FALSE,0.1,All,MPAA
41,0.6,0.5,FALSE,0.0,0.2,FALSE,0.5,12+,BBFC
42,0.9,0.2,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
43,0.5,0.6,FALSE,0.0,0.2,TRUE,0.5,12+,BBFC
44,0.9,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
45,0.5,0.6,FALSE,0.0,0.2,FALSE,0.6,13+,MPAA
46,0.6,0.6,FALSE,0.0,0.2,FALSE,0.6,12+,BBFC
47,0.7,0.4,FALSE,0.0,0.2,FALSE,0.3,7+,MPAA
48,0.5,0.6,FALSE,0.0,0.3,TRUE,0.4,12+,BBFC
49,0.9,0.2,FALSE,0.0,0.1,FALSE,0.1,All,MPAA
50,0.9,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
51,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
52,0.7,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
53,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
54,0.9,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
55,0.5,0.6,FALSE,0.0,0.2,FALSE,0.5,12+,BBFC
56,0.3,0.8,FALSE,0.0,0.6,TRUE,0.8,15+,MPAA
57,0.5,0.6,FALSE,0.0,0.3,FALSE,0.6,13+,MPAA
58,0.9,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
59,0.2,0.5,TRUE,0.4,0.5,TRUE,0.6,16+,MPAA
60,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
61,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
62,0.7,0.4,FALSE,0.0,0.1,FALSE,0.5,7+,MPAA
63,0.7,0.4,FALSE,0.0,0.3,FALSE,0.3,12+,BBFC
64,0.5,0.6,FALSE,0.0,0.3,TRUE,0.5,12+,BBFC
65,0.5,0.6,FALSE,0.0,0.2,FALSE,0.6,12+,BBFC
66,0.9,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
67,0.6,0.6,FALSE,0.0,0.3,FALSE,0.7,13+,MPAA
68,0.8,0.4,FALSE,0.0,0.1,FALSE,0.4,7+,MPAA
69,0.5,0.6,FALSE,0.0,0.3,FALSE,0.7,12+,BBFC
70,0.5,0.7,FALSE,0.0,0.3,FALSE,0.6,12+,BBFC
71,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
72,0.5,0.6,FALSE,0.0,0.2,FALSE,0.5,12+,BBFC
73,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
74,0.9,0.3,FALSE,0.0,0.2,FALSE,0.2,7+,MPAA
75,0.5,0.5,TRUE,0.2,0.3,TRUE,0.6,12+,BBFC
76,0.5,0.7,FALSE,0.0,0.2,FALSE,0.6,12+,BBFC
77,0.4,0.8,FALSE,0.0,0.2,FALSE,0.7,12+,BBFC
78,0.6,0.5,TRUE,0.2,0.3,FALSE,0.4,13+,MPAA
79,0.5,0.6,FALSE,0.0,0.2,FALSE,0.5,12+,BBFC
80,0.9,0.3,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
81,0.9,0.3,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
82,0.5,0.6,FALSE,0.0,0.3,FALSE,0.6,12+,BBFC
83,0.9,0.3,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
84,0.4,0.3,TRUE,0.5,0.4,TRUE,0.2,15+,MPAA
85,0.4,0.6,FALSE,0.0,0.5,TRUE,0.4,15+,MPAA
86,0.7,0.5,FALSE,0.0,0.3,FALSE,0.3,12+,BBFC
87,0.6,0.5,FALSE,0.0,0.2,FALSE,0.5,7+,MPAA
88,0.4,0.8,FALSE,0.0,0.4,FALSE,0.7,13+,MPAA
89,0.6,0.5,FALSE,0.0,0.3,TRUE,0.4,12+,BBFC
90,0.5,0.6,FALSE,0.0,0.3,FALSE,0.6,13+,MPAA
91,0.5,0.6,FALSE,0.0,0.3,FALSE,0.7,13+,MPAA
92,0.6,0.6,FALSE,0.0,0.3,FALSE,0.5,12+,BBFC
93,0.4,0.7,FALSE,0.0,0.6,TRUE,0.6,15+,MPAA
94,0.6,0.5,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
95,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
96,0.6,0.6,FALSE,0.0,0.3,TRUE,0.4,13+,MPAA
97,0.8,0.2,FALSE,0.0,0.1,TRUE,0.1,7+,BBFC
98,0.5,0.7,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
99,0.4,0.4,TRUE,0.5,0.2,FALSE,0.3,13+,MPAA
100,0.5,0.6,FALSE,0.0,0.3,FALSE,0.6,13+,MPAA
101,0.7,0.5,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
102,0.6,0.6,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
103,0.6,0.5,FALSE,0.0,0.2,FALSE,0.4,12+,BBFC
104,0.6,0.4,FALSE,0.0,0.2,FALSE,0.4,12+,BBFC
105,0.5,0.7,FALSE,0.0,0.2,FALSE,0.5,15+,BBFC
106,0.4,0.8,FALSE,0.0,0.2,FALSE,0.6,15+,BBFC
107,0.9,0.3,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
108,0.9,0.2,FALSE,0.0,0.1,FALSE,0.3,All,MPAA
109,0.7,0.5,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
110,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
111,0.5,0.6,FALSE,0.0,0.3,TRUE,0.5,12+,BBFC
112,0.7,0.4,FALSE,0.0,0.3,FALSE,0.3,12+,BBFC
113,0.5,0.7,FALSE,0.0,0.4,TRUE,0.4,13+,MPAA
114,0.6,0.5,FALSE,0.0,0.3,TRUE,0.4,12+,BBFC
115,0.5,0.7,FALSE,0.0,0.3,TRUE,0.5,13+,MPAA
116,0.3,0.8,TRUE,0.7,0.9,TRUE,0.6,18+,MPAA
117,0.6,0.5,FALSE,0.0,0.2,FALSE,0.5,7+,MPAA
118,0.3,0.8,TRUE,0.8,0.9,TRUE,0.6,18+,MPAA
119,0.6,0.5,FALSE,0.0,0.2,FALSE,0.4,7+,MPAA
120,0.4,0.8,FALSE,0.0,0.4,TRUE,0.8,15+,MPAA
121,0.6,0.5,FALSE,0.0,0.4,TRUE,0.3,12+,BBFC
122,0.4,0.2,TRUE,0.3,0.2,TRUE,0.2,12+,BBFC
123,0.5,0.6,FALSE,0.0,0.3,FALSE,0.5,13+,MPAA
124,0.6,0.5,FALSE,0.0,0.3,TRUE,0.3,12+,BBFC
125,0.5,0.7,FALSE,0.0,0.5,TRUE,0.4,13+,MPAA
126,0.5,0.6,FALSE,0.0,0.4,TRUE,0.5,13+,MPAA
127,0.7,0.5,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
128,0.8,0.3,FALSE,0.0,0.1,FALSE,0.4,7+,MPAA
129,0.5,0.7,FALSE,0.0,0.3,FALSE,0.5,12+,BBFC
130,0.9,0.3,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
131,0.8,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
132,0.3,0.8,TRUE,0.6,0.8,TRUE,0.6,16+,MPAA
133,0.6,0.6,FALSE,0.0,0.3,FALSE,0.4,12+,BBFC
134,0.9,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
135,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
136,0.7,0.5,FALSE,0.0,0.2,FALSE,0.5,12+,BBFC
137,0.4,0.7,TRUE,0.5,0.5,TRUE,0.5,15+,MPAA
138,0.95,0.2,FALSE,0.0,0.1,FALSE,0.2,All,MPAA
139,0.9,0.3,FALSE,0.0,0.1,FALSE,0.3,7+,MPAA
140,0.8,0.4,FALSE,0.0,0.1,FALSE,0.4,7+,MPAA
141,0.4,0.7,FALSE,0.0,0.5,TRUE,0.4,13+,MPAA
