film_id,audience_rating_mean,critic_rating_mean,rating_gap,review_count,social_sentiment_score,trending_duration_days,primary_source,platform_coverage_count,peak_popularity_date
1,8.2,7.8,0.4,2000000,0.35,90,IMDb,5,2009-12-18
2,8.4,8.1,0.3,1500000,0.60,120,IMDb,5,2019-04-26
3,7.8,7.6,0.2,800000,0.45,80,IMDb,5,2022-12-16
4,8.1,7.8,0.3,1300000,0.50,120,IMDb,5,1997-12-19
5,7.3,8.1,-0.8,1200000,0.20,90,IMDb,5,2015-12-18
6,8.3,8.5,-0.2,1400000,0.55,110,IMDb,5,2018-04-27
7,,,,,,,,,
8,8.3,8.0,0.3,1000000,0.70,120,IMDb,5,2021-12-17
9,8.0,7.8,0.2,500000,0.60,90,IMDb,5,2024-06-14
10,6.6,6.0,0.6,800000,0.20,60,IMDb,5,2015-06-12
11,6.8,5.5,1.3,600000,0.10,45,IMDb,5,2019-07-19
12,8.1,8.2,-0.1,1600000,0.60,120,IMDb,5,2012-05-04
13,7.2,7.0,0.2,700000,0.40,60,IMDb,5,2015-04-03
14,8.3,8.4,-0.1,900000,0.80,120,IMDb,5,2022-05-27
15,7.1,6.5,0.6,500000,0.40,60,IMDb,5,2019-11-22
16,7.2,7.9,-0.7,700000,0.50,100,IMDb,5,2023-07-21
17,7.3,7.2,0.1,1000000,0.40,60,IMDb,5,2015-05-01
18,7.6,7.2,0.4,600000,0.60,80,IMDb,5,2023-04-07
19,8.2,7.8,0.4,700000,0.70,80,IMDb,5,2024-07-26
20,7.3,8.8,-1.5,1000000,0.50,90,IMDb,5,2018-02-16
21,6.8,8.5,-1.7,1000000,-0.10,60,IMDb,5,2017-12-15
22,8.5,8.9,-0.4,900000,0.70,90,IMDb,5,2011-07-15
23,6.1,6.0,0.1,700000,0.10,45,IMDb,5,2018-06-22
24,7.4,7.5,-0.1,1200000,0.60,120,IMDb,5,2013-11-27
25,7.1,6.9,0.2,800000,0.30,60,IMDb,5,2017-03-17
26,7.6,8.0,-0.4,700000,0.60,60,IMDb,5,2018-06-15
27,7.1,7.9,-0.8,1000000,0.40,60,IMDb,5,2013-05-03
28,6.6,6.7,-0.1,600000,0.20,45,IMDb,5,2017-04-14
29,6.4,6.1,0.3,600000,0.20,60,IMDb,5,2015-07-10
