film_id,release_date,release_year,release_month,release_season,release_day_of_week,holiday_release,covid_era_release,theatrical_vs_digital,simultaneous_release,runtime_context
1,2009-12-18,2009,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
2,2019-04-26,2019,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
3,2025-01-29,2025,1,Winter,Wednesday,TRUE,TRUE,Cinema,FALSE,normal  
4,1997-12-19,1997,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
5,2015-12-18,2015,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
6,2018-04-27,2018,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
7,2025-01-29,2025,1,Winter,Wednesday,TRUE,TRUE,Cinema,FALSE,normal  
8,2021-12-17,2021,12,Winter,Friday,FALSE,TRUE,Cinema,FALSE,normal  
9,2024-06-14,2024,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
10,2015-06-12,2015,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
11,2019-07-19,2019,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
12,2012-05-04,2012,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
13,2015-04-03,2015,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
14,2022-05-27,2022,5,Spring,Friday,FALSE,TRUE,Cinema,FALSE,normal  
15,2019-11-22,2019,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
16,2023-07-21,2023,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
17,2015-05-01,2015,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
18,2023-04-07,2023,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
19,2024-07-26,2024,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
20,2018-02-16,2018,2,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
21,2017-12-15,2017,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
22,2011-07-15,2011,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
23,2018-06-22,2018,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
24,2013-11-27,2013,11,Fall,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
25,2017-03-17,2017,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
26,2018-06-15,2018,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
27,2013-05-03,2013,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
28,2017-04-14,2017,4,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
29,2015-07-10,2015,7,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
30,2016-05-06,2016,5,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
31,2018-12-07,2018,12,Winter,Friday,FALSE,FALSE,Cinema,FALSE,normal  
32,2019-07-02,2019,7,Summer,Tuesday,FALSE,FALSE,Cinema,FALSE,normal  
33,2019-03-08,2019,3,Spring,Friday,FALSE,FALSE,Cinema,FALSE,normal  
34,2003-12-17,2003,12,Winter,Wednesday,FALSE,FALSE,Cinema,FALSE,normal  
35,2011-06-17,2011,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
36,2012-11-09,2012,11,Fall,Friday,FALSE,FALSE,Cinema,FALSE,normal  
37,2014-06-27,2014,6,Summer,Friday,FALSE,FALSE,Cinema,FALSE,normal  
