film_id,setting_type,fictional_world_present,real_location_reference,setting_importance_score,time_period,geographical_scope,weather_motif_present,dominant_color_tone,technological_level,societal_structure,environmental_condition
1,FantasyWorld,TRUE,FALSE,0.95,Future,Interplanetary,TRUE,Natural,Futuristic,Dystopia,Destroyed
2,Mixed,TRUE,TRUE,0.9,Future,Interplanetary,TRUE,HighContrast,Futuristic,Democracy,Polluted
3,FantasyWorld,TRUE,FALSE,0.95,Future,Interplanetary,TRUE,Natural,Futuristic,Tribal,Intact
4,Maritime,FALSE,TRUE,0.9,Past,Global,TRUE,Cold,Modern,Democracy,Intact
5,Space,TRUE,FALSE,0.95,Future,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Destroyed
6,Mixed,TRUE,TRUE,0.9,Future,Interplanetary,TRUE,HighContrast,Futuristic,Democracy,Polluted
7,FantasyWorld,TRUE,FALSE,0.85,Past,National,TRUE,Vibrant,Primitive,Empire,Intact
8,Urban,TRUE,TRUE,0.85,Present,Global,TRUE,HighContrast,Modern,Democracy,Polluted
9,FantasyWorld,TRUE,FALSE,0.8,Present,Local,TRUE,Vibrant,Modern,Democracy,Intact
10,Mixed,FALSE,TRUE,0.9,Present,Global,TRUE,Natural,Modern,Corporate,Polluted
11,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Natural,Primitive,Tribal,Intact
12,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Democracy,Intact
13,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
14,Urban,FALSE,TRUE,0.9,Present,National,TRUE,Natural,Modern,Democracy,Intact
15,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
16,Mixed,TRUE,TRUE,0.85,Present,Global,FALSE,Vibrant,Modern,Corporate,Idealized
17,Mixed,TRUE,TRUE,0.85,Future,Global,TRUE,HighContrast,Futuristic,Democracy,Polluted
18,FantasyWorld,TRUE,FALSE,0.9,Present,National,FALSE,Vibrant,Futuristic,Empire,Intact
19,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Democracy,Polluted
20,FantasyWorld,TRUE,FALSE,0.9,Present,National,TRUE,Vibrant,Modern,Monarchy,Intact
21,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Destroyed
22,FantasyWorld,TRUE,FALSE,0.95,Past,National,TRUE,Cold,Primitive,Monarchy,Destroyed
23,Mixed,FALSE,TRUE,0.9,Present,Global,TRUE,Natural,Modern,Corporate,Polluted
24,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
25,FantasyWorld,TRUE,FALSE,0.9,Past,Local,TRUE,Warm,Primitive,Monarchy,Intact
26,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
27,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Polluted
28,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
29,FantasyWorld,TRUE,FALSE,0.8,Past,Global,FALSE,Vibrant,Primitive,Empire,Intact
30,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Democracy,Polluted
31,Underwater,TRUE,FALSE,0.9,Present,Global,TRUE,Natural,Futuristic,Monarchy,Intact
32,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
33,Space,TRUE,TRUE,0.9,Past,Interplanetary,FALSE,HighContrast,Futuristic,Empire,Intact
34,FantasyWorld,TRUE,FALSE,0.95,Past,Global,TRUE,Cold,Primitive,Monarchy,Destroyed
35,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Futuristic,Corporate,Polluted
36,Urban,FALSE,TRUE,0.8,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
37,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Futuristic,Corporate,Polluted
38,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,Cold,Modern,Democracy,Polluted
39,Urban,FALSE,TRUE,0.9,Past,Local,TRUE,Desaturated,Modern,Democracy,Polluted
40,Mixed,TRUE,FALSE,0.85,Present,Global,FALSE,Warm,Modern,Democracy,Intact
41,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Destroyed
42,Mixed,TRUE,FALSE,0.85,Present,Global,FALSE,Warm,Modern,Democracy,Intact
43,Maritime,TRUE,FALSE,0.9,Past,Global,TRUE,Warm,Primitive,Monarchy,Intact
44,Maritime,TRUE,FALSE,0.9,Present,Global,TRUE,Natural,Modern,Tribal,Intact
45,Mixed,FALSE,TRUE,0.9,Present,Local,TRUE,Natural,Modern,Corporate,Intact
46,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,Cold,Futuristic,Empire,Destroyed
47,Space,TRUE,FALSE,0.9,Past,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Intact
48,Maritime,TRUE,FALSE,0.85,Past,Global,TRUE,Warm,Primitive,Monarchy,Intact
49,FantasyWorld,TRUE,FALSE,0.9,Past,Local,TRUE,Warm,Primitive,Monarchy,Idealized
50,Maritime,TRUE,TRUE,0.85,Present,Local,TRUE,Vibrant,Modern,Tribal,Intact
51,Urban,TRUE,TRUE,0.8,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
52,FantasyWorld,TRUE,FALSE,0.9,Past,Local,TRUE,Vibrant,Primitive,Monarchy,Idealized
53,Underwater,TRUE,FALSE,0.9,Present,Global,TRUE,Natural,Modern,Tribal,Intact
54,Urban,TRUE,FALSE,0.9,Present,Global,TRUE,Vibrant,Modern,Democracy,Idealized
55,FantasyWorld,TRUE,FALSE,0.95,Past,Global,TRUE,Natural,Primitive,Monarchy,Intact
56,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,Desaturated,Modern,Democracy,Polluted
57,Mixed,FALSE,TRUE,0.9,Present,Global,TRUE,Natural,Modern,Corporate,Polluted
58,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Natural,Primitive,Tribal,Intact
59,Urban,FALSE,TRUE,0.9,Past,National,FALSE,Desaturated,Modern,Democracy,Polluted
60,Urban,TRUE,TRUE,0.8,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
61,Urban,TRUE,TRUE,0.8,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
62,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
63,Mixed,TRUE,TRUE,0.9,Present,Local,TRUE,Vibrant,Modern,Democracy,Intact
64,Maritime,TRUE,FALSE,0.9,Past,Global,TRUE,Warm,Primitive,Monarchy,Intact
65,FantasyWorld,TRUE,FALSE,0.95,Past,Global,TRUE,Natural,Primitive,Monarchy,Destroyed
66,FantasyWorld,TRUE,FALSE,0.9,Present,Global,FALSE,Vibrant,Modern,Tribal,Intact
67,Mixed,TRUE,TRUE,0.9,Mixed,Interplanetary,TRUE,HighContrast,Futuristic,Dystopia,Destroyed
68,Rural,TRUE,FALSE,0.9,Past,National,TRUE,Natural,Primitive,Tribal,Intact
69,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Destroyed
70,FantasyWorld,TRUE,FALSE,0.95,Past,Global,TRUE,Natural,Primitive,Monarchy,Destroyed
71,Urban,TRUE,TRUE,0.8,Past,National,FALSE,Vibrant,Modern,Democracy,Intact
72,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
73,Underwater,TRUE,FALSE,0.9,Present,Global,TRUE,Natural,Modern,Tribal,Intact
74,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Monarchy,Intact
75,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Destroyed
76,FantasyWorld,TRUE,FALSE,0.95,Past,Global,TRUE,Cold,Primitive,Monarchy,Destroyed
77,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Destroyed
78,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,HighContrast,Modern,Democracy,Polluted
79,FantasyWorld,TRUE,FALSE,0.95,Past,Global,TRUE,Cold,Primitive,Monarchy,Intact
80,FantasyWorld,TRUE,FALSE,0.85,Past,Global,TRUE,Natural,Primitive,Tribal,Intact
81,Urban,TRUE,TRUE,0.85,Present,Local,FALSE,Vibrant,Modern,Democracy,Intact
82,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
83,FantasyWorld,TRUE,FALSE,0.85,Past,Global,TRUE,Natural,Primitive,Tribal,Intact
84,Urban,FALSE,TRUE,0.9,Past,Global,FALSE,Warm,Modern,Democracy,Intact
85,Urban,FALSE,TRUE,0.9,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
86,Urban,TRUE,TRUE,0.85,Present,Local,FALSE,Vibrant,Modern,Democracy,Intact
87,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
88,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,Desaturated,Futuristic,Dystopia,Destroyed
89,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,Vibrant,Futuristic,Empire,Destroyed
90,Mixed,FALSE,TRUE,0.9,Future,Global,TRUE,Natural,Futuristic,Corporate,Polluted
91,Urban,TRUE,FALSE,0.9,Future,National,FALSE,HighContrast,Futuristic,Dystopia,Destroyed
92,FantasyWorld,TRUE,FALSE,0.9,Present,National,TRUE,Vibrant,Modern,Monarchy,Intact
93,Urban,TRUE,TRUE,0.85,Present,Local,FALSE,HighContrast,Modern,Corporate,Polluted
94,FantasyWorld,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,Vibrant,Futuristic,Empire,Destroyed
95,FantasyWorld,TRUE,FALSE,0.85,Present,Local,TRUE,Vibrant,Modern,Democracy,Intact
96,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,Vibrant,Futuristic,Empire,Destroyed
97,Urban,FALSE,TRUE,0.85,Mixed,National,FALSE,Warm,Modern,Democracy,Intact
98,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Futuristic,Corporate,Polluted
99,FantasyWorld,TRUE,FALSE,0.85,Present,National,FALSE,Cold,Modern,Monarchy,Intact
100,Urban,TRUE,TRUE,0.95,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
101,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,HighContrast,Modern,Democracy,Intact
102,Historical,TRUE,TRUE,0.9,Past,Global,TRUE,Warm,Primitive,Empire,Intact
103,Urban,TRUE,TRUE,0.9,Present,Global,TRUE,HighContrast,Modern,Democracy,Destroyed
104,Urban,TRUE,TRUE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
105,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Democracy,Intact
106,Historical,FALSE,TRUE,0.9,Past,National,TRUE,Cold,Modern,Empire,Destroyed
107,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Monarchy,Intact
108,Urban,TRUE,TRUE,0.9,Present,Local,TRUE,Natural,Modern,Democracy,Intact
109,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,HighContrast,Modern,Democracy,Intact
110,FantasyWorld,TRUE,TRUE,0.9,Present,National,TRUE,Warm,Modern,Democracy,Idealized
111,Maritime,TRUE,FALSE,0.9,Past,Global,TRUE,Warm,Primitive,Monarchy,Intact
112,Mixed,TRUE,TRUE,0.85,Present,Local,TRUE,Vibrant,Modern,Democracy,Intact
113,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
114,Historical,TRUE,TRUE,0.9,Past,Global,FALSE,Natural,Modern,Democracy,Intact
115,Urban,FALSE,TRUE,0.9,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
116,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Modern,Democracy,Polluted
117,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
118,Urban,TRUE,TRUE,0.85,Present,Local,FALSE,HighContrast,Modern,Democracy,Polluted
119,Space,TRUE,FALSE,0.95,Future,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Destroyed
120,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,Cold,Modern,Democracy,Polluted
121,Space,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,Vibrant,Futuristic,Empire,Destroyed
122,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
123,Urban,TRUE,FALSE,0.9,Future,National,FALSE,Cold,Futuristic,Dystopia,Destroyed
124,FantasyWorld,TRUE,FALSE,0.9,Future,Interplanetary,TRUE,Vibrant,Futuristic,Empire,Destroyed
125,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
126,Urban,FALSE,TRUE,0.9,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
127,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,HighContrast,Modern,Democracy,Intact
128,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Warm,Primitive,Monarchy,Intact
129,Global,TRUE,TRUE,0.95,Future,Global,TRUE,HighContrast,Modern,Democracy,Destroyed
130,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Monarchy,Intact
131,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Monarchy,Idealized
132,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Polluted
133,Mixed,TRUE,TRUE,0.9,Mixed,Global,FALSE,HighContrast,Futuristic,Democracy,Destroyed
134,Mixed,TRUE,TRUE,0.85,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
135,Urban,TRUE,FALSE,0.85,Past,National,FALSE,Vibrant,Modern,Democracy,Intact
136,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Empire,Intact
137,Urban,TRUE,TRUE,0.9,Future,Global,FALSE,HighContrast,Futuristic,Dystopia,Polluted
138,Mixed,TRUE,TRUE,0.9,Present,Global,TRUE,Natural,Modern,Democracy,Idealized
139,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Natural,Primitive,Tribal,Intact
140,FantasyWorld,TRUE,FALSE,0.95,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
141,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
142,FantasyWorld,TRUE,FALSE,0.95,Future,Interplanetary,TRUE,Cold,Futuristic,Empire,Destroyed
143,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,Cold,Modern,Democracy,Polluted
144,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
145,PostApocalyptic,TRUE,FALSE,0.9,Future,Global,TRUE,Natural,Futuristic,Dystopia,Destroyed
146,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,HighContrast,Modern,Democracy,Polluted
147,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Futuristic,Corporate,Polluted
148,FantasyWorld,TRUE,FALSE,0.85,Present,National,FALSE,Cold,Modern,Monarchy,Intact
149,Urban,FALSE,TRUE,0.9,Past,Local,TRUE,Cold,Modern,Democracy,Intact
150,Urban,FALSE,TRUE,0.9,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
151,Urban,TRUE,TRUE,0.95,Mixed,Interplanetary,TRUE,Vibrant,Futuristic,Democracy,Destroyed
152,Urban,FALSE,TRUE,0.9,Present,Global,FALSE,Desaturated,Modern,Democracy,Intact
153,FantasyWorld,TRUE,FALSE,0.85,Present,Local,FALSE,Cold,Modern,Monarchy,Intact
154,Space,TRUE,TRUE,0.95,Present,Interplanetary,TRUE,Cold,Futuristic,Democracy,Intact
155,Maritime,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Tribal,Intact
156,FantasyWorld,TRUE,FALSE,0.85,Present,National,FALSE,Cold,Modern,Monarchy,Intact
157,Mixed,FALSE,TRUE,0.9,Mixed,National,FALSE,Natural,Modern,Democracy,Intact
158,Urban,TRUE,FALSE,0.9,Future,National,FALSE,Cold,Futuristic,Dystopia,Destroyed
159,Urban,TRUE,TRUE,0.9,Present,Global,TRUE,HighContrast,Modern,Democracy,Intact
160,Urban,FALSE,TRUE,0.85,Present,Local,FALSE,Desaturated,Modern,Democracy,Intact
161,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Modern,Democracy,Polluted
162,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Empire,Intact
163,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Futuristic,Democracy,Polluted
164,Space,TRUE,FALSE,0.9,Past,Interplanetary,TRUE,HighContrast,Futuristic,Empire,Intact
165,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Cold,Primitive,Monarchy,Intact
166,Maritime,TRUE,FALSE,0.9,Past,Global,TRUE,Warm,Primitive,Monarchy,Intact
167,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
168,Space,TRUE,TRUE,0.95,Future,Interplanetary,TRUE,Cold,Futuristic,Democracy,Intact
169,FantasyWorld,TRUE,FALSE,0.85,Past,Global,TRUE,Natural,Primitive,Tribal,Intact
170,Urban,TRUE,TRUE,0.9,Future,National,FALSE,Vibrant,Futuristic,Democracy,Intact
171,Urban,TRUE,FALSE,0.9,Future,National,FALSE,Cold,Futuristic,Dystopia,Destroyed
172,FantasyWorld,TRUE,FALSE,0.9,Past,Interplanetary,TRUE,Cold,Futuristic,Empire,Destroyed
173,Space,TRUE,TRUE,0.95,Future,Interplanetary,TRUE,Cold,Futuristic,Democracy,Destroyed
174,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Empire,Intact
175,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Natural,Primitive,Tribal,Intact
176,Urban,TRUE,TRUE,0.85,Past,Local,FALSE,Warm,Modern,Democracy,Idealized
177,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Vibrant,Primitive,Empire,Intact
178,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
179,Urban,TRUE,FALSE,0.85,Present,Local,FALSE,Vibrant,Modern,Democracy,Intact
180,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
181,Urban,FALSE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Corporate,Intact
182,Urban,TRUE,TRUE,0.9,Present,Local,FALSE,Warm,Modern,Democracy,Intact
183,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,HighContrast,Modern,Democracy,Polluted
184,Urban,TRUE,TRUE,0.85,Present,Global,FALSE,Vibrant,Modern,Democracy,Intact
185,Historical,FALSE,TRUE,0.9,Past,National,TRUE,Warm,Primitive,Empire,Intact
186,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Modern,Corporate,Polluted
187,Maritime,TRUE,TRUE,0.9,Present,Global,TRUE,Natural,Modern,Democracy,Intact
188,Mixed,FALSE,TRUE,0.9,Present,Global,TRUE,Natural,Modern,Corporate,Intact
189,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Modern,Democracy,Intact
190,FantasyWorld,TRUE,FALSE,0.9,Past,National,TRUE,Natural,Primitive,Tribal,Intact
191,Urban,TRUE,TRUE,0.9,Future,National,FALSE,Desaturated,Futuristic,Democracy,Destroyed
192,Space,TRUE,TRUE,0.95,Future,Interplanetary,TRUE,Cold,Futuristic,Democracy,Destroyed
193,Urban,TRUE,TRUE,0.9,Present,Global,TRUE,HighContrast,Modern,Democracy,Destroyed
194,Urban,TRUE,TRUE,0.9,Present,Global,FALSE,HighContrast,Futuristic,Corporate,Polluted
195,Rural,TRUE,FALSE,0.85,Past,National,FALSE,Vibrant,Primitive,Tribal,Intact
