film_id,political_content_present,political_alignment,social_issue_focus,lgbt_representation_present,minority_representation_strength,gender_equality_focus,war_or_conflict_related,environmental_theme_present,activism_message_strength,controversy_level,propaganda_tone
1,TRUE,anti_establishment,environment,FALSE,0.6,FALSE,TRUE,TRUE,0.8,0.3,FALSE
2,FALSE,neutral,war,TRUE,0.5,FALSE,TRUE,FALSE,0.2,0.2,FALSE
3,TRUE,anti_establishment,environment,FALSE,0.6,FALSE,TRUE,TRUE,0.7,0.2,FALSE
4,TRUE,neutral,class,FALSE,0.2,FALSE,FALSE,FALSE,0.3,0.1,FALSE
5,TRUE,anti_establishment,war,FALSE,0.5,TRUE,TRUE,FALSE,0.5,0.3,FALSE
6,FALSE,neutral,war,FALSE,0.5,FALSE,TRUE,FALSE,0.2,0.2,FALSE
7,FALSE,neutral,other,FALSE,0.2,FALSE,TRUE,FALSE,0.1,0.1,FALSE
8,FALSE,neutral,other,FALSE,0.5,FALSE,FALSE,FALSE,0.2,0.1,FALSE
9,FALSE,neutral,other,FALSE,0.4,FALSE,FALSE,FALSE,0.1,0.1,FALSE
10,TRUE,anti_establishment,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.3,0.1,FALSE
11,TRUE,neutral,other,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.1,FALSE
12,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,FALSE,0.2,0.1,FALSE
13,FALSE,neutral,other,FALSE,0.6,FALSE,FALSE,FALSE,0.1,0.1,FALSE
14,TRUE,conservative,war,FALSE,0.4,FALSE,TRUE,FALSE,0.2,0.3,TRUE
15,TRUE,progressive,environment,FALSE,0.5,TRUE,FALSE,TRUE,0.6,0.2,FALSE
16,TRUE,progressive,gender,FALSE,0.5,TRUE,FALSE,FALSE,0.8,0.5,FALSE
17,TRUE,anti_establishment,other,FALSE,0.3,FALSE,TRUE,FALSE,0.4,0.3,FALSE
18,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
19,FALSE,neutral,other,TRUE,0.3,FALSE,TRUE,FALSE,0.2,0.3,FALSE
20,TRUE,progressive,race,FALSE,0.9,TRUE,TRUE,FALSE,0.7,0.3,FALSE
21,TRUE,progressive,war,FALSE,0.6,TRUE,TRUE,FALSE,0.5,0.6,FALSE
22,TRUE,anti_establishment,war,FALSE,0.2,FALSE,TRUE,FALSE,0.5,0.1,FALSE
23,TRUE,progressive,environment,FALSE,0.3,FALSE,FALSE,TRUE,0.4,0.2,FALSE
24,FALSE,neutral,other,FALSE,0.2,TRUE,FALSE,FALSE,0.2,0.1,FALSE
25,FALSE,neutral,other,TRUE,0.3,TRUE,FALSE,FALSE,0.2,0.2,FALSE
26,TRUE,neutral,other,FALSE,0.3,TRUE,FALSE,FALSE,0.4,0.1,FALSE
27,TRUE,anti_establishment,war,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.2,FALSE
28,FALSE,neutral,other,FALSE,0.6,FALSE,FALSE,FALSE,0.1,0.1,FALSE
29,FALSE,neutral,other,FALSE,0.1,FALSE,FALSE,FALSE,0.0,0.1,FALSE
30,TRUE,anti_establishment,war,FALSE,0.4,FALSE,TRUE,FALSE,0.5,0.3,FALSE
31,TRUE,neutral,environment,FALSE,0.4,FALSE,TRUE,TRUE,0.4,0.1,FALSE
32,FALSE,neutral,other,FALSE,0.5,FALSE,FALSE,FALSE,0.2,0.1,FALSE
33,TRUE,progressive,gender,FALSE,0.4,TRUE,TRUE,FALSE,0.6,0.5,FALSE
34,TRUE,neutral,war,FALSE,0.2,FALSE,TRUE,FALSE,0.4,0.1,FALSE
35,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.2,FALSE
36,TRUE,neutral,other,FALSE,0.3,FALSE,FALSE,FALSE,0.3,0.2,FALSE
37,TRUE,conservative,war,FALSE,0.2,FALSE,TRUE,FALSE,0.2,0.2,FALSE
38,TRUE,conservative,class,FALSE,0.2,FALSE,TRUE,FALSE,0.5,0.4,FALSE
39,TRUE,anti_establishment,class,FALSE,0.3,FALSE,FALSE,FALSE,0.6,0.7,FALSE
40,FALSE,neutral,other,TRUE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
41,TRUE,neutral,war,TRUE,0.5,TRUE,TRUE,FALSE,0.4,0.5,FALSE
42,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.2,0.1,FALSE
43,FALSE,neutral,other,FALSE,0.2,FALSE,TRUE,FALSE,0.1,0.1,FALSE
44,TRUE,progressive,environment,FALSE,0.8,TRUE,FALSE,TRUE,0.6,0.2,FALSE
45,TRUE,anti_establishment,environment,FALSE,0.2,FALSE,FALSE,TRUE,0.4,0.1,FALSE
46,TRUE,anti_establishment,war,FALSE,0.7,TRUE,TRUE,FALSE,0.7,0.2,FALSE
47,TRUE,neutral,war,FALSE,0.3,FALSE,TRUE,FALSE,0.3,0.3,FALSE
48,FALSE,neutral,other,FALSE,0.2,FALSE,TRUE,FALSE,0.1,0.1,FALSE
49,FALSE,neutral,class,FALSE,0.6,TRUE,FALSE,FALSE,0.3,0.2,FALSE
50,FALSE,neutral,other,FALSE,0.8,FALSE,FALSE,FALSE,0.2,0.2,FALSE
51,FALSE,neutral,other,FALSE,0.2,FALSE,FALSE,FALSE,0.1,0.1,FALSE
52,TRUE,anti_establishment,other,FALSE,0.1,FALSE,FALSE,FALSE,0.3,0.1,FALSE
