soundtrack_id,film_id,track_title,composer_name,performer_name,is_main_theme,music_genres,vocal_presence,cultural_instrument_usage,diegetic,track_emotional_intensity,scene_usage_type,award_won
1,1,Becoming One of "The People" / Becoming One with Neytiri,James Horner,,FALSE,orchestral|ethnic,FALSE,TRUE,FALSE,0.85,love,FALSE
2,1,I See You,James Horner,Leona Lewis,TRUE,romantic|pop,TRUE,FALSE,FALSE,0.9,credits,TRUE
3,1,Climbing Up "Iknimaya" – The Path to Heaven,James Horner,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,transition,FALSE
4,2,Portals,Alan Silvestri,,FALSE,orchestral,FALSE,FALSE,FALSE,0.95,battle,FALSE
5,2,Main on End,Alan Silvestri,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,credits,TRUE
6,2,The Real Hero,Alan Silvestri,,FALSE,orchestral|romantic,FALSE,FALSE,FALSE,0.85,other,FALSE
7,3,The Way of Water,Simon Franglen,,TRUE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,intro,FALSE
8,3,Leaving Home,Simon Franglen,,FALSE,orchestral,FALSE,FALSE,FALSE,0.7,transition,FALSE
9,3,The Spirit Tree,Simon Franglen,,FALSE,ambient|ethnic,FALSE,TRUE,FALSE,0.8,other,FALSE
10,4,My Heart Will Go On,James Horner,Céline Dion,TRUE,romantic|pop,TRUE,FALSE,FALSE,0.95,love,TRUE
11,4,Southampton,James Horner,,FALSE,orchestral,FALSE,FALSE,FALSE,0.7,transition,FALSE
12,4,Hymn to the Sea,James Horner,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,funeral,FALSE
13,5,Main Title,John Williams,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
14,5,Rey's Theme,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,other,FALSE
15,5,March of the Resistance,John Williams,,FALSE,orchestral,FALSE,FALSE,FALSE,0.9,battle,FALSE
16,6,Infinity War,Alan Silvestri,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
17,6,Forge,Alan Silvestri,,FALSE,orchestral,FALSE,FALSE,FALSE,0.85,transition,FALSE
18,6,Even for You,Alan Silvestri,,FALSE,orchestral|ambient,FALSE,FALSE,FALSE,0.8,other,FALSE
19,7,The Battle of the Seas,Wei An,,TRUE,orchestral|ethnic,FALSE,TRUE,FALSE,0.9,battle,FALSE
20,7,Rebirth of Ne Zha,Wei An,,FALSE,orchestral|electronic,FALSE,FALSE,FALSE,0.85,transition,FALSE
21,7,Calm Before the Storm,Wei An,,FALSE,ambient,FALSE,FALSE,FALSE,0.6,other,FALSE
22,8,Arachnoverture,Michael Giacchino,,TRUE,orchestral|rock,FALSE,FALSE,FALSE,0.9,intro,FALSE
23,8,Being Spider-Man,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.7,transition,FALSE
24,8,Exit Through the Lobby,Michael Giacchino,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,credits,FALSE
25,9,I'm with You,Andrea Datzman,,FALSE,orchestral|romantic,FALSE,FALSE,FALSE,0.85,love,FALSE
26,9,Inside the Mind World,Andrea Datzman,,TRUE,orchestral|electronic,FALSE,FALSE,FALSE,0.9,intro,FALSE
27,9,Joy’s Return,Andrea Datzman,,FALSE,orchestral,FALSE,FALSE,FALSE,0.8,other,FALSE
28,10,Welcome to Jurassic World,Michael Giacchino,,TRUE,orchestral,FALSE,FALSE,FALSE,0.9,intro,FALSE
