film_id,main_theme,has_major_twist,has_open_ending,moral_dilemma_present,narrative_complexity,based_on_true_story,narrative_type,perspective_type,ending_type,stakes_level,tone,timeline_period
1,survival,FALSE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,high,balanced,future
2,sacrifice,TRUE,FALSE,TRUE,0.85,FALSE,nonlinear,multiple,closed,high,dark,mixed
3,family,FALSE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,high,balanced,future
4,love,FALSE,FALSE,TRUE,0.60,TRUE,linear,multiple,closed,high,dark,historical
5,coming_of_age,TRUE,FALSE,TRUE,0.70,FALSE,linear,multiple,cliffhanger,high,balanced,future
6,sacrifice,TRUE,FALSE,TRUE,0.80,FALSE,nonlinear,multiple,cliffhanger,high,dark,future
7,revenge,TRUE,FALSE,TRUE,0.75,FALSE,linear,third_omniscient,closed,high,balanced,other
8,friendship,TRUE,FALSE,TRUE,0.80,FALSE,nonlinear,multiple,closed,high,balanced,mixed
9,coming_of_age,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
10,survival,FALSE,FALSE,FALSE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
11,family,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,balanced,historical
12,teamwork,TRUE,FALSE,TRUE,0.65,FALSE,linear,multiple,closed,high,balanced,contemporary
13,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
14,legacy,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
15,freedom,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,medium,balanced,fantasy
16,identity,FALSE,FALSE,TRUE,0.75,FALSE,nonlinear,multiple,open,medium,balanced,contemporary
17,power,TRUE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,dark,future
18,friendship,FALSE,FALSE,FALSE,0.40,FALSE,linear,third_omniscient,closed,medium,light,fantasy
19,revenge,TRUE,FALSE,TRUE,0.80,FALSE,nonlinear,multiple,open,high,dark,contemporary
20,justice,FALSE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
21,sacrifice,TRUE,TRUE,TRUE,0.75,FALSE,nonlinear,multiple,ambiguous,high,dark,future
22,war,FALSE,FALSE,TRUE,0.80,FALSE,linear,multiple,closed,high,balanced,fantasy
23,survival,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,cliffhanger,high,dark,contemporary
24,love,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,light,fantasy
25,love,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,light,historical
26,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
27,revenge,TRUE,FALSE,TRUE,0.70,FALSE,linear,first_person,closed,high,dark,contemporary
28,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
29,freedom,FALSE,FALSE,FALSE,0.40,FALSE,linear,third_omniscient,closed,low,light,historical
30,justice,TRUE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,dark,contemporary
31,power,FALSE,FALSE,FALSE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,fantasy
32,coming_of_age,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
33,identity,FALSE,FALSE,FALSE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
34,sacrifice,FALSE,FALSE,TRUE,0.90,FALSE,linear,multiple,closed,high,balanced,historical
35,war,TRUE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,dark,future
36,justice,TRUE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,high,dark,contemporary
37,survival,FALSE,FALSE,FALSE,0.55,FALSE,linear,third_omniscient,closed,high,balanced,future
38,sacrifice,FALSE,FALSE,TRUE,0.80,FALSE,linear,third_omniscient,closed,high,dark,contemporary
39,identity,TRUE,TRUE,TRUE,0.85,FALSE,nonlinear,unreliable,ambiguous,high,dark,contemporary
40,friendship,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,light,contemporary
41,war,TRUE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,balanced,future
42,friendship,FALSE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
43,revenge,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,cliffhanger,high,balanced,historical
44,freedom,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,light,fantasy
45,survival,FALSE,FALSE,FALSE,0.70,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
46,sacrifice,TRUE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,dark,historical
47,power,FALSE,FALSE,FALSE,0.60,FALSE,linear,third_omniscient,cliffhanger,high,balanced,future
48,freedom,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,medium,balanced,historical
49,love,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,light,historical
50,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,light,contemporary
51,family,FALSE,FALSE,TRUE,0.45,FALSE,linear,third_omniscient,closed,medium,light,contemporary
52,freedom,TRUE,FALSE,TRUE,0.65,FALSE,nonlinear,third_omniscient,closed,medium,balanced,fantasy
53,family,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
54,justice,FALSE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
55,adventure,FALSE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,cliffhanger,high,balanced,historical
56,justice,TRUE,FALSE,TRUE,0.90,FALSE,nonlinear,multiple,closed,high,dark,contemporary
57,survival,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
58,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,historical
59,sacrifice,FALSE,FALSE,TRUE,0.85,TRUE,linear,third_omniscient,closed,high,dark,historical
60,family,FALSE,FALSE,TRUE,0.45,FALSE,linear,third_omniscient,closed,medium,light,contemporary
61,family,FALSE,FALSE,TRUE,0.45,FALSE,linear,third_omniscient,closed,medium,light,contemporary
62,coming_of_age,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,medium,balanced,fantasy
63,friendship,FALSE,FALSE,TRUE,0.50,FALSE,linear,multiple,closed,medium,light,contemporary
64,sacrifice,TRUE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,balanced,historical
65,greed,TRUE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,cliffhanger,high,balanced,historical
66,survival,FALSE,FALSE,FALSE,0.50,FALSE,linear,third_omniscient,closed,medium,balanced,fantasy
67,power,TRUE,FALSE,TRUE,0.80,FALSE,nonlinear,multiple,closed,high,dark,mixed
68,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,historical
69,sacrifice,FALSE,TRUE,TRUE,0.75,FALSE,linear,multiple,cliffhanger,high,dark,fantasy
70,war,FALSE,FALSE,TRUE,0.80,FALSE,linear,multiple,closed,high,balanced,historical
71,coming_of_age,FALSE,FALSE,FALSE,0.40,FALSE,linear,third_omniscient,closed,low,light,contemporary
72,war,FALSE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,balanced,fantasy
73,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,light,contemporary
74,love,FALSE,FALSE,TRUE,0.50,FALSE,linear,third_omniscient,closed,medium,light,fantasy
75,sacrifice,TRUE,FALSE,TRUE,0.80,FALSE,linear,multiple,cliffhanger,high,dark,fantasy
76,war,FALSE,FALSE,TRUE,0.85,FALSE,linear,multiple,cliffhanger,high,balanced,historical
77,revenge,TRUE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,dark,future
78,revenge,TRUE,FALSE,TRUE,0.70,FALSE,linear,first_person,closed,high,dark,contemporary
79,sacrifice,FALSE,FALSE,TRUE,0.80,FALSE,linear,multiple,closed,high,balanced,historical
80,family,FALSE,FALSE,FALSE,0.45,FALSE,linear,third_omniscient,closed,medium,light,prehistoric
81,friendship,FALSE,FALSE,FALSE,0.40,FALSE,linear,third_omniscient,closed,low,light,contemporary
82,coming_of_age,FALSE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,medium,balanced,fantasy
83,friendship,FALSE,FALSE,FALSE,0.45,FALSE,linear,third_omniscient,closed,medium,light,prehistoric
84,freedom,FALSE,FALSE,TRUE,0.70,TRUE,linear,first_person,closed,medium,balanced,historical
85,revenge,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,high,dark,contemporary
86,coming_of_age,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
87,coming_of_age,FALSE,FALSE,TRUE,0.65,FALSE,linear,multiple,closed,medium,balanced,fantasy
88,justice,TRUE,FALSE,TRUE,0.80,FALSE,nonlinear,multiple,closed,high,dark,contemporary
89,family,FALSE,FALSE,TRUE,0.60,FALSE,linear,multiple,closed,medium,balanced,fantasy
90,survival,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,future
91,freedom,FALSE,FALSE,TRUE,0.80,FALSE,linear,first_person,cliffhanger,high,dark,future
92,sacrifice,FALSE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,balanced,contemporary
93,identity,TRUE,FALSE,TRUE,0.65,FALSE,linear,first_person,closed,high,dark,contemporary
94,freedom,FALSE,FALSE,TRUE,0.65,FALSE,linear,multiple,closed,high,balanced,fantasy
95,emotion,FALSE,FALSE,TRUE,0.70,FALSE,nonlinear,third_omniscient,closed,medium,balanced,contemporary
96,sacrifice,FALSE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,balanced,fantasy
97,family,TRUE,FALSE,TRUE,0.70,TRUE,nonlinear,first_person,closed,medium,balanced,contemporary
98,war,FALSE,FALSE,TRUE,0.60,FALSE,linear,multiple,closed,high,balanced,future
99,love,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,medium,balanced,fantasy
100,other,TRUE,TRUE,TRUE,0.95,FALSE,nonlinear,unreliable,ambiguous,high,dark,contemporary
101,justice,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
102,war,FALSE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,high,balanced,historical
103,survival,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,high,balanced,contemporary
104,friendship,FALSE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,medium,balanced,historical
105,war,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
106,war,FALSE,FALSE,TRUE,0.70,TRUE,linear,multiple,closed,high,dark,historical
107,family,FALSE,FALSE,FALSE,0.40,FALSE,linear,third_omniscient,closed,medium,light,fantasy
108,friendship,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
109,sacrifice,TRUE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
110,family,TRUE,FALSE,TRUE,0.75,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
111,revenge,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,high,balanced,historical
112,friendship,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,medium,light,contemporary
113,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,high,balanced,contemporary
114,adventure,FALSE,FALSE,FALSE,0.50,FALSE,linear,third_omniscient,closed,medium,balanced,historical
115,sacrifice,FALSE,FALSE,TRUE,0.75,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
116,revenge,TRUE,FALSE,TRUE,0.70,FALSE,linear,first_person,closed,high,balanced,contemporary
117,freedom,TRUE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,medium,balanced,fantasy
118,revenge,TRUE,FALSE,TRUE,0.65,FALSE,linear,first_person,closed,high,balanced,contemporary
119,freedom,FALSE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,balanced,future
120,justice,FALSE,FALSE,TRUE,0.80,FALSE,linear,third_omniscient,closed,high,dark,contemporary
121,friendship,FALSE,FALSE,TRUE,0.65,FALSE,linear,multiple,closed,medium,balanced,fantasy
122,justice,TRUE,FALSE,TRUE,0.75,TRUE,linear,third_omniscient,closed,medium,dark,contemporary
123,freedom,FALSE,TRUE,TRUE,0.75,FALSE,linear,first_person,cliffhanger,high,dark,future
124,love,FALSE,FALSE,TRUE,0.60,FALSE,linear,multiple,closed,medium,balanced,fantasy
125,friendship,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,high,balanced,contemporary
126,sacrifice,FALSE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,balanced,contemporary
127,justice,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
128,love,TRUE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,medium,balanced,fantasy
129,survival,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,high,dark,future
130,family,TRUE,FALSE,TRUE,0.50,FALSE,circular,third_omniscient,closed,medium,light,fantasy
131,love,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,medium,balanced,fantasy
132,justice,TRUE,FALSE,TRUE,0.65,FALSE,linear,multiple,closed,high,dark,contemporary
133,freedom,TRUE,FALSE,TRUE,0.80,FALSE,nonlinear,multiple,closed,high,balanced,future
134,friendship,FALSE,FALSE,FALSE,0.45,FALSE,linear,third_omniscient,closed,medium,light,contemporary
135,coming_of_age,FALSE,FALSE,FALSE,0.50,FALSE,linear,third_omniscient,closed,medium,light,contemporary
136,identity,TRUE,FALSE,TRUE,0.75,FALSE,linear,third_omniscient,closed,high,balanced,fantasy
137,freedom,TRUE,FALSE,TRUE,0.85,FALSE,nonlinear,multiple,cliffhanger,high,dark,future
138,family,FALSE,FALSE,TRUE,0.65,FALSE,linear,third_omniscient,closed,medium,balanced,contemporary
139,legacy,FALSE,FALSE,TRUE,0.60,FALSE,linear,third_omniscient,closed,medium,balanced,historical
140,faith,FALSE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,medium,balanced,historical
141,family,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,high,balanced,contemporary
142,sacrifice,FALSE,FALSE,TRUE,0.85,FALSE,linear,multiple,cliffhanger,high,dark,future
143,justice,TRUE,FALSE,TRUE,0.80,FALSE,linear,multiple,closed,high,balanced,contemporary
144,family,FALSE,FALSE,TRUE,0.60,FALSE,linear,multiple,cliffhanger,high,balanced,contemporary
145,survival,FALSE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,balanced,future
146,love,TRUE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,cliffhanger,high,balanced,contemporary
147,war,FALSE,FALSE,TRUE,0.65,FALSE,linear,multiple,closed,high,balanced,future
148,love,FALSE,FALSE,TRUE,0.55,FALSE,linear,multiple,closed,medium,balanced,fantasy
149,fear,TRUE,FALSE,TRUE,0.75,FALSE,linear,third_omniscient,cliffhanger,high,dark,contemporary
150,sacrifice,FALSE,FALSE,TRUE,0.75,FALSE,linear,multiple,closed,high,balanced,contemporary
151,freedom,TRUE,TRUE,TRUE,0.90,FALSE,nonlinear,multiple,cliffhanger,high,balanced,future
152,sacrifice,FALSE,FALSE,TRUE,0.70,FALSE,linear,multiple,closed,high,balanced,contemporary
153,love,FALSE,FALSE,TRUE,0.55,FALSE,linear,first_person,cliffhanger,medium,balanced,fantasy
154,survival,FALSE,FALSE,TRUE,0.75,FALSE,linear,third_omniscient,closed,high,balanced,future
155,freedom,FALSE,FALSE,TRUE,0.55,FALSE,linear,third_omniscient,closed,medium,balanced,historical
156,love,FALSE,FALSE,TRUE,0.60,FALSE,linear,multiple,cliffhanger,medium,balanced,fantasy
157,life,FALSE,FALSE,TRUE,0.70,TRUE,linear,first_person,closed,medium,balanced,historical
158,freedom,FALSE,FALSE,TRUE,0.75,FALSE,linear,first_person,closed,high,dark,future
159,power,TRUE,FALSE,TRUE,0.70,FALSE,linear,third_omniscient,closed,high,balanced,contemporary
